questions,answers,intent
나이가 들어서 불안하다 보니 각종 암에 좋다는 음식을 찾아보고 있어.,나이가 들어서 건강이 걱정되는군요.,2
수술 받기가 너무 무서워.,수술 받기가 두려우시군요. 어떤 것이 제일 두려우신가요?,2
자식들과 오래 함께 살고 싶어서 열심히 운동하고 있지만 쉽지 않아. 체력 때문에 쉽게 지치게 되네.,운동하고 계시는군요. 어떤 운동을 하세요?,2
아파서 퇴사를 해서 나에게는 이젠 가족밖에 없어 그들을 잃을까 봐 불안해.,가족을 잃을까 봐 많이 불안하시군요.,2
팔순 되신 아빠가 자꾸 우울하다는 말씀을 하셔서 걱정이야.,우울해하시는 아버지를 보고 걱정이 되시는군요.,2
혈압이 높게 나와서 우울하네.,안타까운 소식이네요.,2
요실금이 온 순간 어디선가 모르는 수치심이 몰려왔어.,요실금이 와서 수치심을 느끼셨군요.,2
요즘 코로나 때문에 운동을 못 해서 스트레스받고 있어. 내 건강을 위해서 꾸준하게 운동을 해야 하는데 걱정이 많이 생겼어.,어떤 게 걱정되시나요?,2
어제 뉴스를 보고 있는데 순간적으로 구역질 날 정도로 격해지는 내용을 봤어.,구역질 날 정도의 뉴스는 어떤 내용이었나요?,2
병원에서 고지혈증이라는 진단을 받았는데 전혀 예상을 못 해서 당황했어.,생각 못했던 병을 진단받아서 많이 놀라셨겠어요.,2
오늘 병원에서 후두암 판정을 받았어. 의사의 말을 듣는데 눈물이 쏟아졌어.,암 진단을 받고 마음이 복잡하셨을 것 같아요.,2
요즘 소변볼 때 좀 불편해서 소변 검사를 했는데 염증이 있대.,소변검사에서 염증이 있다고 나와서 걱정이 많이 되겠어요.,2
젊었을 때 운동을 할 걸 지금 체력이 바닥나서 걷기도 힘들어.,그런 상황에 처해 많이 속상하시겠어요.,2
상대방이 교통사고 책임을 다 나한테 떠넘겨서 너무 화가 나고 짜증이 나.,상대방이 교통사고의 책임을 다 떠넘기는 바람에 화가 나고 짜증나셨군요.,2
어제 정기검진을 받았는데 이상이 있는 곳이 하나도 없네.,검진 결과가 좋게 나와서 기쁘신 것 같아요.,2
이번 건강 검진에서 신체나이 열 살 이상으로 나왔어. ,건강 검진 결과가 안 좋게 나오셨군요. 의사 선생님이 뭐라고 하셨나요?,2
내가 요실금에 걸리다니 너무 수치스러워.,요실금에 걸려서 당황스러우시군요.,2
정말 힘들어 못 살겠어! 이제 한계에 도달한 것 같아!,어떤 힘든 일을 겪으신 건가요?,2
일하다 허리를 삐끗했어.,많이 다치셨나요?,2
젊었을 때부터 건강관리를 해서인지 체력이 많이 도움이 된 것 같아 나 자신한테 만족스러워.,건강관리를 잘 해서 만족스러우시군요.,2
건강검진을 했는데 약간 과체중이긴 하지만 크게 문제는 없다고 나와서 기뻐.,건강검진 결과가 좋아서 다행이에요.,2
요즘 내가 왜 사는지 모르겠어.,어떤 문제로 그런 생각이 드시는지요?,2
엄마가 연세가 드시니 이제 점점 편찮으신 곳이 많아져서 걱정이야.,어머니가 나이가 들어 걱정이 많으시군요.,2
별일도 아닌데 이 나이가 되니까 너무 서러워.,별일도 아니라고 생각하지만 그래도 정말 속상하셨겠어요.,2
내일이면 퇴원할 것 같아서 기분이 좋네.,건강해져서 퇴원할 수 있다니 기쁘시겠어요.,2
나이가 들어가니까 점점 친구들이 병원을 많이 가게 되나 봐.,친구분 중에서 편찮으신 분이 있으신가요?,2
다이어트를 했는데 살이 빠지지 않아서 나 자신이 실망스러워,다이어트를 해도 살이 빠지지 않아 실망하셨군요. 다이어트는 어떻게 하셨나요?,2
아들이 퇴원을 기념하며 꽃다발을 들고 왔어. 난 정말 기뻐.,아들의 꽃다발을 받고 정말 기쁘셨군요.,2
온종일 창밖만 바라보고 있어. 너무 우울해.,우울한 기분을 느끼시는군요. 힘든 일이 있었나요?,2
최근에 살이 많이 쪄서 스트레스를 받고 있어.,체중이 늘어나서 스트레스를 받으시는 군요.,2
얼마 전에 헬스장에서 운동을 하다 다쳤어. 옆의 젊은 친구가 신경 쓰여서 페이스를 맞추다가 한심하게.,헬스장에서 무리하다가 다치셨군요. 속상하시겠어요.,2
무릎에 좋은 운동이라고 지인에게 운동을 알려줬어. 전문 트레이너가 방송에서 그 방법은 안 좋다고 이야기하더라고.,그 순간 어떤 감정을 느끼나요?,2
폐암 진단을 받았어. 담배를 피운 적이 없는데 너무 억울해.,담배도 안 피워서 매우 억울하시군요.,2
내 지인이 앞에서는 그렇게 나를 칭찬하더니 뒤에서는 내 외모를 가지고 험담하더라고.,지인이 뒤에서 외모를 가지고 험담을 하는 걸 아셨군요. ,2
약을 먹어도 똑같은 걸 보면 이 의사는 제대로 진단을 못하는 거 같아.,많이 짜증나겠어요.,2
요즘 비타민 등 건강보조식품을 먹는데 효능이 있을까?,평소에도 건강식품을 꾸준히 드셨었나요?,2
이번에 건강검진을 받았는데 검사 결과가 썩 좋지 않아서 짜증 나.,검사 결과가 안 좋아서 마음이 불편하시군요. 어떤 부분이 안 좋게 나왔나요?,2
예전에는 건강 하나는 자신 있다고 생각했었는데 몸이 예전 같지 않더라고.,건강은 아무리 강조해도 지나치지 않죠.,2
작년보다 간 수치가 높게 나와서 너무 당혹스러워.,간 수치가 높게 나오셔서 많이 불안하시겠네요.,2
건강이 안좋다는 소리를 듣고 혼란스러워.,안좋다는 건강소식에 혼란스러운 상황이시군요. 어떻게 하면 건강해 질 수 있을까요? ,2
더위에 취약한 아빠가 더운 여름날 농사일을 하다 논에서 쓰러지셨어.,정말 걱정되고 불안하셨겠군요. 지금은 아버님이 괜찮으신가요?,2
나름대로는 열심히 운동한 것 같았는데 말이야.,운동과 관련해서 어떤 문제점이 생긴 건지 더 듣고 싶어요.,2
얼마 전에 크게 넘어져서 병원에 길게 입원했었거든. 다 낫고 퇴원했는데 넘어졌던 부위가 아직도 아픈 것 같아서 걱정돼.,다친 부위가 계속 아파 매우 걱정스러우실 것 같아요.,2
삼 주째 야근이야. 운동하고 싶은데 못하니깐 정말 짜증나!,운동을 하고 싶은데 야근으로 운동을 못해 짜증이 나겠어요.,2
나는 코로나에 취약한 상태라 불안해.,코로나에 취약한 다른 질환을 가지고 계시나요?,2
나 오늘 열받네.,열받게 한 부분을 여쭤봐도 될까요?,2
매일 꾸준한 운동을 해서 그런지 배가 안 나온 후배가 부러워서 질투가 나.,후배가 부러워서 질투가 나시는군요.,2
주변에서 나를 이상하게 볼까봐 공황장애를 겪고 있다는 말을 하기가 힘들어.,공황장애를 겪고 있다니 안타까워요. 많이 힘드신가요?,2
매일매일 열심히 운동하는데 왜 이렇게 피곤하지?,피로를 많이 느끼시는군요. 어떻게 운동하세요?,2
식단 관리를 하고 있으니 따로 운동은 안 해도 될 것 같아. ,식단 관리를 하고 계시기 때문에 따로 운동은 안 하시는군요.,2
내가 너무 자주 병원을 가는 것 같아.,병원에 너무 자주 가셔서 고민이시군요.,2
나는 요즘 내 생활에 아주 만족해.,어떤 부분에서 만족감을 느끼는지 얘기해 주시면 좋겠어요.,2
건강이 점점 안 좋아지는 것 같아.,건강이 점점 안좋아지는군요. 무슨일 있으신가요?,2
이번에 건강검진 결과가 나왔는데 아주 좋아.,건강검진 결과가 좋게 나와서 기쁘시군요.,2
몸이 아픈데 이상하게 병원에만 가려고 하면 다시 괜찮아져서 혼란스러워.,병원에 가려고만 하면 몸이 괜찮아져서 혼란스러우시군요.,2
요즘 코로나 때문에 운동도 안 하는데 살이 찌지는 않는 것 같아.,운동 안 하는데도 체중 변화가 없다는 말씀이네요.,2
식도암이 다른 부위로 전이가 많이 돼서 이젠 더는 손쓸 수가 없대.,암이 전이가 되어서 많이 속상하시겠어요.,2
갱년기인 것 같아. 갑자기 열이 오르내리고 짜증이 나.,갱년기 증상으로 힘드시군요.,2
내가 코로나가 걸릴까 봐 너무 두려워.,코로나 때문에 걱정이군요.,2
건강에는 자신감이 있었는데 지하철 계단을 오를 때마다 숨찬 내 모습에 실망을 느껴.,건강이 안 좋아져 속상하셨겠어요. 계단이 많았나요?,2
신체 나이가 서른으로 나왔어.,원래 나이는 어떻게 되시나요?,2
며칠 전에 종합 건강검진을 받았어. 내 돈을 주고 종합적으로 받은 것은 이번이 처음이야.,처음으로 돈을 내고 종합 검진을 받아보셨군요. 어떠셨어요?,2
건강검진을 받았는데 건강하다고 해서 안도했어. 요새 자주 피곤해서 걱정했거든.,건강검진 결과가 좋아서 안도하셨군요. 앞으로 어떤 노력을 하실건가요?,2
내가 평소에 얼마나 건강관리를 열심히 했는데 암에 걸리다니!,건강관리에 힘쓰셨는데 상심이 크시겠네요. ,2
건강을 위해 헬스를 시작했는데 영 효과가 없는 것 같아서 실망스러워.,헬스 효과가 없는 것 같아서 아주 실망스러우시군요. 헬스장에서 어떤 운동을 하시나요?,2
얼마 전에 병원에 갔었는데 검사 결과가 안 좋아.,건강에 문제가 생기셨나요?,2
올해는 건강검진 받기 두려운 마음이 들어.,건강검진을 받기가 두려우시군요. 어떤 점에서 두려움이 느껴지시나요?,2
우리 부모님은 계속 내 옆에 있을 줄 알았어. 이렇게 갑자기 돌아가실 줄은 몰랐어.,갑작스러운 소식으로 많이 슬프시군요.,2
오늘 건강 검진을 했는데 암 이래. 너무 화가 나.,암이라니 많이 놀라셨겠어요.,2
등산하다가 넘어질 때 남편을 잡았는데 자기도 다칠 뻔했다고 나한테 큰소리를 쳤어.,위험한 상황에 남편을 잡았다고 큰소리를 들었군요. 기분이 어떠셨어요?,2
건강 관리를 너무 못했나 봐. 좌절감이 느껴져.,무척 속상해하고 계시는군요.,2
며칠 전에 정말 감사한 일을 겪었어.,어떤 감사한 일을 겪으셨는지 여쭈어도 될까요?,2
오십 대 후반이 되니 건강에 더욱 신경 쓰이네. 옛날엔 대범한 편이라 생각했는데 요샌 모든 일에 방어적이게 되는 것 같아.,건강관리 중요하죠. ,2
저번 건강 검진에서 콜레스테롤 수치가 좀 높게 나왔거든. 그래서 두 달 동안 정말 열심히 운동하고 채소도 열심히 먹고 콜레스테롤 관리를 해주었어.,건강 검진에서 콜레스테롤 수치가 높게 나와서 열심히 건강 관리를 하셨군요.,2
주변에서 나만 비만이라 걱정이야.,몸무게 때문에 걱정이시군요. 어떻게 하면 좋을까요?,2
어제 건강검진을 받았는데 상태가 많이 안 좋네.,어디가 편찮으신지 여쭤봐도 될까요?,2
어제는 밤늦게까지 잠을 못 잤어.,무슨 걱정되는 일이 있으신가요?,2
요즘은 점점 건강에 대하여 예민해지는 시기 같아.,건강 때문에 예민하시군요. 무슨 일이 있으셨나요?,2
나 충격받았어.,무슨 일에 충격을 받으셨나요?,2
늙어갈수록 피부가 점점 처지고 살이 찌는 내 모습이 부끄러워.,나이를 먹으면서 나타나는 변화에 만족스럽지 못하시군요.,2
남편이 혈압이 높은 줄은 알았는데 그 정도인 줄은 몰랐어.,남편분의 혈압이 아주 높으신가요?,2
이번 생일에는 아빠가 과연 약속을 지킬까? 아웃백에 외식 하러 가기로 했거든. 그동안 아빠가 한번도 약속을 지킨적이 없어서 사실 큰 기대는 안하지만 말이야.,다가오는 생일에 아빠와 외식하기로 약속을 하셨군요. 아빠가 바쁘셔서 잊어 버리실 수도 있으니 잘 기억하실 수 있도록 할 방법은 없을까요?,2
지난달 교통사고를 당하고 오늘 처음으로 다리 물리치료를 받으러 가는 날이야. 잘할 수 있을지 걱정이 돼.,오늘 처음으로 물리치료를 받으러 가시는 날이군요. 걱정이 조금 되겠어요.,2
정말 꾸준하게 운동도 하고 식단도 조절했는데.,근데 무슨 일 있으세요?,2
몸에 열이 많이 나서 코로나가 걸린 것이라 걱정했는데 다행히 코로나 검사 결과가 음성이 나왔어. 편안해.,코로나 검사 결과가 음성으로 나와서 마음이 편안하시군요. 어쩌다 열이 많이 나게 되셨나요?,2
나이가 갱년기에 도래하니 사는 게 힘들고 앞으로 살아가기가 싫네.,갱년기로 인해 많이 우울하신 것 같아요.,2
우리 집 막내 아이가 퇴원했어.,그동안 마음고생 하셨을 텐데 기쁘시겠어요.,2
요즘 젊은 애 엄마들은 우리 때랑은 다르게 늘씬하고 예쁜 옷도 잘 입는 걸 보고 놀랐어.,요즘 젊은 애 엄마들을 보고 놀라셨군요.,2
나 아프지도 않은 곳을 수술했어. 억울해.,마음이 많이 상하셨겠어요. 조금 더 자세히 말해주실 수 있나요?,2
어제 친구를 만났는데 내 얼굴이 좋아졌대. 근데 그냥 기분 좋으라고 하는 말 같았어.,무엇이 그렇게 생각하게 했나요?,2
요즘 어깨가 뻐근하고 쉽게 피로하고 잠을 자도 피곤이 풀리지 않아 혹시 몸에 무슨 문제가 생긴 걸까?,어깨도 아프고 피곤해서 건강이 걱정되시는군요.,2
부장님께 보약 좀 챙겨 먹으라는 말을 들었어.,부장님께 보약 챙겨 먹으라는 말을 들었군요. 좀 더 이야기해 주실래요?,2
갱년기가 와서 그런지 잠이 안 오고 새벽까지 깨어 있어.,밤에 잠 못 자서 힘드시겠어요.,2
혼자 살고 있는데 건강도 나빠지니 정말 힘들다.,혼자 지내시는데 건강까지 나빠져서 많이 힘드실 것 같아요.,2
말기 암 선고를 받은 뒤로 매일 눈물만 나와.,말기 암 선고 때문에 많이 속상하시겠어요.,2
중년 때 건강관리가 중요하다는데 어떻게 관리해야 할지 혼란스러워.,건강관리 때문에 혼란스러워하시는 것 같아요. 나이에 맞는 관리 방법이 있을까요?,2
어제 회사에서 단체로 등산을 갔었는데 너무 힘들었어.,등산하느라 많이 힘드셨나 보군요.,2
왜 자꾸 뱃살이 나오는지 이해할 수가 없네.,따로 운동을 하시나요?,2
오늘은 퇴근 후에 집에 들어가기 싫어. 내가 안 들어가 봐야 내가 귀한 존재란 걸 알지.,집에 들어가기 싫을 무슨 일이 있으셨나요?,2
날이 더워서 집 근처 식당에서 냉면을 먹었는데 이가 너무 시려. 짜증이 확 나더라고.,이가 시린 고통으로 짜증이 나셨군요. 이런 문제를 어떻게 해결할 수 있을까요?,2
건강검진을 받았는데 의사가 술과 담배를 끊으래. 술과 담배가 없으면 불안인데 걱정이야.,술과 담배가 없으면 불안하시다니 걱정이 되겠어요.,2
낮에 동창 모임이 있었는데 기분이 안 좋았어.,동창 모임에서 기분이 안 좋으셨군요. 무슨 일이 있으셨나요? ,2
몸살이 났어도 아침을 정성껏 챙겨줬는데 남편이 글쎄 짜증 나게도 반찬 투정을 하네.,아픈 몸으로도 아침을 차려줬는데 남편분이 반찬 투정을 하니까 화가 나셨군요.,2
지인이 건강보조식품을 파는 데 좋다고 해서 샀더니 알고 보니 가격을 두 배나 비싸게 팔았더라고. 너무 배신감 들어.,지인에게 믿고 구매했는데 당황스러우시군요. 앞으로 어떻게 하고 싶으신가요? ,2
몇 년 전에 나는 심근경색 진단을 받았어.,상심이 크셨겠어요. 지금은 괜찮으신가요?,2
어제 친구들을 만났는데 참 당황스럽네.,친구 모임에서 당황스러운 일이 있으셨군요. 어떤 일이셨나요? ,2
당뇨인 것도 모르고 일만 하면서 살았다니 정말 혼란스러워.,당뇨 사실을 모르고 일만 한 것이 혼란스러우시군요.,2
너무 불공평하고 짜증이 나. 부부가 맞벌이 하는데도 가사는 전부 내 차지야.,밖에서 일도 하면서 가사도 처리하시느라 무척 힘드시겠네요.,2
종양을 발견했다는 의사의 진단을 받고 머릿속이 혼란스러워졌어.,종양이 발견되어 혼란스러우셨군요.,2
어렸을 때부터 몸이 안 좋아서 건강에 비정상적으로 집착하는 내 모습에 환멸을 느껴.,건강에 대해 걱정을 많이 하시는군요. 건강을 위해 어떤 노력을 하고 계시나요?,2
회사에서 일을 하다가 크게 다쳤으나 보상을 해줄 수 없다고 해서 좌절했어.,회사에서 다쳤는데 보상을 못 받다니 너무 충격이 크겠어요.,2
앞날이 캄캄해진 기분이 들어.,앞 날이 캄캄해진 기분이 드는군요. 무슨 일이세요?,2
나 혼자 할머니 되는 느낌이야.,나 혼자 할머니 되는 느낌이군요. 그런 생각이 드신 이유를 말씀해주시겠어요?,2
이번 건강 검진 결과가 안 좋아서 큰 충격을 받았네.,특히 심하게 안 좋은 부분이 있으셨나요?,2
완치될 줄 알았는데 병이 다시 심하게 재발한 것 같아.,병이 재발한 것 같아서 마음이 괴로우시군요.,2
오늘 보니 허리 치수가 확 줄었어.,허리 치수가 확 줄으셨군요.,2
오늘 아침은 기분도 좋고 마음도 좋아.,기분도 마음도 좋으셔서 다행이에요.,2
아내가 하도 잔소리를 해서 집에 오자마자 아픈 척을 했어.,아내의 잔소리로 기분이 좋지 않으시군요.,2
내 아내는 매번 여기저기 아프다 말은 많은데 건강 관리나 운동은 전혀 하질 않아. 왜 그러는 건지.,아내분이 아프다 하시면서도 관리를 안 하셔서 당황하셨겠어요.,2
차가 너무 막혀서 그만 바지에 실수했어. 너무 창피해.,바지에 실수를 해서 속상하셨겠네요.,2
엄마가 손목 관절이 안 좋아 병원에서 수 받으셔야 한다고 하네,어머니가 수술받아야 한다고 하니 많이 놀라셨겠어요. 많이 심각한가요?,2
자궁암 검사를 받았는데 아무래도 미심쩍어.,어떤 것 때문에 미심쩍으시나요?,2
건강이 점점 나빠져 이젠 아이들에게 강인한 아빠가 더 이상 될 수 없을 것 같아.,건강으로 인해 아이들에게 강인한 아빠가 될 수 없을 것 같아 슬프군요.,2
난 그냥 이렇게 살다가 죽을 거야. 수술은 무슨 수술 돈이 어디 있다고.,돈 때문에 수술을 안 하기로 하셨군요.,2
접촉사고를 당했는데 다쳤는지 확인도 안하고 본인 차 얘기만 하는 사람 때문에 화가 나.,다쳤느냐고 물어보지도 않고 차 얘기만 해서 화가 나셨겠어요.,2
갈수록 건강이 나빠지는 것 같아 걱정이야.,건강으로 인해 불안하신 것 같아요.,2
이제 병이 다 나아서 치료 안 받아도 된다고 하니 너무 편안한 기분이야.,병이 다 나아서 편안한 기분이시군요.,2
진실과 거짓을 판단하려고 해도 지식이 없으니 잘 모르겠네. 특히 건강 상식은 더 그래.,어떤 사안을 판단하고 싶으신 건가요?,2
어머니가 예전 같지 않게 기력이 많이 쇠하셔서 너무 걱정돼.,어머니가 기력이 쇠하셔서 걱정이 되시는군요.,2
내가 아픈 것을 가족들에게 알리고 싶지 않은데 가족들이 자꾸 눈치를 채고 물어봐.,아픈 사실을 알리고 싶지 않으신데 가족들이 자꾸 물어봐서 고민이시겠어요.,2
젊어서부터 너무 일을 많이 했는지 허리가 너무 아파.,일을 많이 하셔서 몸이 안 좋아지신 건가요?,2
요즘 기분도 다운되고 외로워.,기분이 안 좋으신가 봐요. 무슨 일 있으세요?,2
나 병원 다녀왔는데 무릎에 물이 차서 다리가 아픈 거래. 관리 안 하면 걷는 게 불편해질 거라고 하니 암담하고 걱정돼.,병원에서 다리가 불편해질 수 있다고 해서 당혹스러웠겠어요.,2
오늘 아내의 병이 완치 판정을 받았어.,아내의 병이 완치 판정을 받으셨군요.,2
아내와 같이 운동한 후로 더 건강해지고 사이도 돈독해져서 기분이 매우 좋아.,건강해지고 아내분과 사이가 좋아져서 좋으시겠어요.,2
건강관리를 잘 해서 날씬해지면 사람들이 부러워할 거야.,건강 관리 잘 해서 날씬해지면 사람들이 부러워할 거라고 생각하시는군요. ,2
건강검진 덕분에 조기에 질병을 발견해서 치료할 수 있었어. 참 감사한 일이야.,건강검진으로 질병을 발견하셔서 다행이에요. 정말 기쁘시겠어요.,2
내가 아프게 되면 나를 보살펴줄 사람이 없어서 슬퍼.,가족 중에 보살펴줄 분이 없으신가요?,2
건강관리를 위해서 열심히 노력했거든. 근데 어제 건강검진표 결과가 안 좋게 나와서 억울해.,건강검진 결과를 어제 받으셨네요. 그동안 많이 노력했는데 결과 안 좋다니 속상하시겠어요.,2
올해 건강검진 결과가 나왔는데 정말 충격적이야.,건강 검진 결과에 많이 충격받으셨군요.,2
아파서 끙끙대는 신음을 참다 보니까 나도 모르게 눈물이 나고 있더라.,아픈 것도 슬픈데 소리까지 참으니까 눈물이 나시겠어요.,2
담배 끊은 지 두 달째인데 오늘 조기축구에서 두 골을 넣었어. 건강해졌나 봐.,축하드려요. 담배 끊으신 보람이 있네요.,2
건강하게 살고 싶다고 생각만 했지 지금 보니 막상 건강을 위해 한 것은 없어서 불안해.,생각만 하고 건강을 챙기기 위해 한 것이 없어 불안해 하시는군요.,2
중년의 나이에 애들이 공무원 시험을 몇 년을 도전해도 잘 안 되니 스트레스네. 자기 갈 길 가면 좋은데.,그러시군요. 요즘 자제분들 때문에 고민이 많으시군요.,2
국가건강검진 다녀왔어. 나이에 비해 여러 군데 문제가 있다며 정밀검사 받으라네. 나 어떡하지?,결과지 받고 마음이 안 좋으시겠어요. 많이 안 좋다고 하던가요?,2
건강검진 결과가 좋지 않아서 걱정이야.,몸이 많이 안 좋으신가요?,2
나는 철저히 예방했는데 동료 때문에 전염병에 걸렸어. 억울해.,예방했는데도 전염병에 걸려 억울하시겠어요.,2
최근에 살이 오 킬로그램이나 빠졌어 너무 기뻐!,살이 빠져 기쁘시군요. 갑자기 살이 빠지게 된 이유가 무엇인가요?,2
올 연말에 가족들끼리 설경을 보기 위해 겨울 산행을 하기로 했어. 그런데 아이들이 나와 아내의 체력을 걱정하는 것 있지.,아이들이 부모님의 체력을 걱정하는군요.,2
드디어 항암치료가 끝났어. 오지 않을 것만 같은 날이었는데 감격스러워.,항암치료가 끝난 것이 무척 기쁘시군요!,2
수영장에서 같은 레인의 회원들과 시합을 했는데 내가 일등 했어.,다른 회원들보다 수영을 잘하시는군요.,2
최근에 시도 때도 없이  갑자기 몸이 화끈거려서  모임에 나가기가 두려워.,몸에 이상이 있는 건 아닌지 걱정되시는군요. 혹시 병원에는 가 보셨나요?,2
요즘은 눈 뜨면 몸 상태부터 확인하게 돼.,오늘 건강 상태는 어떠신가요?,2
회사에서 일을 하다 병에 걸려서 구조조정의 대상이 될까 봐 걱정이야.,병에 걸려 회사에서 구조조정이 될까 봐 불안하시군요.,2
건강검진을 통해 내 건강 상태를 알아야 하는 데 문제가 있을까 봐 미루고 있어.,건강검진에서 좋지 않은 결과가 나올까 봐 불안하겠어요.,2
나이가 들면서 체력이 바닥났다는 걸 느끼고 있어. 너무 속상해.,점점 체력이 바닥나 속상하시군요.,2
건강이 안 좋아져서 퇴사하고 집에만 있는데 남편에게 많이 미안해.,어떤 일로 남편에게 미안함을 느끼고 있는지 알 수 있을까요?,2
위장병이 심해져서 건강이 나빠졌어. 건강관리 좀 할걸.,건강이 나빠져서 걱정이겠네요. 후회가 되는 건가요?,2
아버지가 육 개월밖에 못 사신대.,육 개월이라니 정말 힘드시겠어요.,2
요새 감정기복이 심해졌어. 아무래도 폐경기가 온 거 같아 불안해.,폐경기가 온 거 같아 불안하시겠어요.,2
아내가 치매에 걸렸는데 아내의 약을 더 꼼꼼히 챙겼어야 했는데 그러지 못했어.,아내의 치매로 약을 꼼꼼히 챙겨야 했었는데 그러지 못하셨군요. 조금 더 자세히 말씀해 주시겠어요?,2
혹시 요즘 유행하는 물 마시기 앱이라고 알아? 그거 처음엔 건강에 도움 될 거 같아 깔았는데 영 성가신 게 아니야.,어떤 부분이 성가시나요?,2
"요즘 화가 너무 많이 나는데, 어떻게 해야할지 모르겠어.",어떤 이유로 화가 나시나요?,2
아직 젊다고 생각했는데 백내장 진단을 받았어. 여간 충격이 아니야. 내일 또 병원에 가야 해.,백내장 진단을 받아 충격이시군요.,2
내 또래 친구들이 건강을 위해서 영양제를 먹는 줄 몰랐어. 너무 당황스러워.,친구들이 건강관리를 잘하고 계셔서 당황스러우셨군요. 왜 그렇게 생각하셨나요?,2
아이에게 병이 생겼는데 다 내 탓인 것 같아.,자녀분이 아프게 되어 내 탓이라고 생각되시는군요. 이유가있을까요?,2
나이가 들면서 요즘은 건강에 대한 걱정이 많이 돼.,나이가 들며 건강이 많이 걱정되시는군요.,2
오늘 거울을 봤는데 주름이 많이 생긴 걸 알았어.,시간이 흘러 변한 모습을 보니 속상하셨겠군요.,2
아내가 이제 육십으로 접어드는데 자주 기억을 잃는 것 같아서 걱정이야.,아내분이 기억을 자주 잃어버리시는군요. 매우 걱정되시겠어요.,2
회사에서 충격받았어.,무슨 일인지 좀 더 자세히 말씀해주실 수 있나요?,2
얼굴이 자꾸 화끈거려.,얼굴이 자꾸 화끈 거리시는군요.,2
요즘 운동을 열심히 해서 그런지 건강해진 것 같아.,운동을 열심히 하셔서 건강해지셨군요.,2
소화 불량으로 병원에서 검진을 받았는데 오늘 결과가 나왔어.,검진 결과가 나왔군요. 결과는 어떤가요?,2
병이 나서 마음이 조급하고 안달이 나. 병원에 가야 하나?,병으로 마음에 안달이 나 병원에 가려 하시는군요.,2
오늘 갑자기 남편이 쓰러져서 병원에 다녀왔어.,가까운 분이 아프셔서 많이 놀라고 당황하셨겠어요.,2
남편이 췌장이 안 좋아서 술을 마시면 안 되는데 아랑곳하지 않고 계속 술을 마셔. 정말 꼴 보기 싫어.,췌장이 안 좋은 남편이 자꾸 술을 드셔서 속상하셨겠네요.,2
난 몸에 안 좋은 거 안 하면서 건강 챙기는데 이런 모습이 되게 바람직하다고 생각해.,건강을 챙기는 일은 가장 중요한 것 같아요. 정말 훌륭해요.,2
오늘 날씨가 좋아서 산책하러 나갔어. 요즘 부쩍 살이 쪄서 걱정이거든.,날씨가 좋아서 산책하러 나가셨군요.,2
건강검진 결과 때문에 너무 화가 나.,결과가 안 좋은가요?,2
요즘 들어 급격히 노화가 진행된 것 같아.,급격히 진행되는 노화에 속상하시겠네요.,2
나는 백 미터 달리기를 다른 사람보다 잘해.,단거리 달리기 실력에 자부심을 갖고 계시는군요.,2
젊었을 때부터 건강을 챙기지 못한 게 너무 후회돼. 나이가 드니까 여기저기 아픈 곳이 많아져서 말이야.,건강 때문에 걱정이 많으시군요. 지금부터라도 건강 관리를 할 수 있는 방법은 어떤 것이 있을까요?,2
청력이 예전 같지 않은 것 같아서 걱정이야.,청력이 나빠지고 있는 것 같아 힘드시군요.,2
시력이 많이 안 좋아져서 검사를 받았는데 스마트폰을 너무 많이 봐서 그렇다고 해. 평소 관리를 못 한 점이 부끄러워.,시력 관리를 잘하지 못해 부끄러우시군요. 스마트폰의 사용을 줄이기 위해선 어떤 습관이 필요할까요?,2
병원에서 의사가 나에게 억지를 부리며 수술을 요구하는 상황이야. 너무 화가 나네.,의사가 억지로 수술을 요구하다니 화가 많이 나시겠어요.,2
건강 검진 결과가 나온 며칠 동안 영양제를 잔뜩 사놓고 결국 잘 먹지도 않았어.,건강을 위해 영양제를 꾸준히 드시는건 어떠세요?,2
나는 매일 운동을 두 시간 이상 해야 겨우 잠을 제대로 잘 수 있어.,매일 운동을 두 시간 이상 해야 겨우 잠에 드실 수 있군요.,2
심장 관련 병원을 가야 하는데 못 가고 걱정만 하고 있네.,병원을 못 가시는 이유가 있으신가요?,2
요즘 여기저기 안 아픈 데가 없네. 일하기가 힘들 정도야.,아픈 데가 많아 힘드시군요. 어떻게 하면 평소에 건강 관리를 할 수 있을까요? ,2
나 어제 건강 검진받았어.,혹시 몸에 무슨 문제라도 생기셨나요?,2
아내가 매일 영양제를 챙겨주는데 효과도 없는 거 같아서 너무 귀찮고 짜증 나.,아내가 매일 효과 없는 영양제를 챙겨 주어서 짜증이 나시는군요.,2
학교 다닐 때 친구를 최근에 만났는데 살짝 질투심이 나기까지 했어.,친구가 어떤 모습이었길래요?,2
병원에서 드디어 나가서 내가 가장 좋아하는 물회를 먹을 생각에 벌써 기분이 좋아.,건강이 회복되어서 좋아하는 일을 할 수 있는 것은 참 기쁜 일이에요.,2
독감에 걸려서 병원에 입원했는데 혼자 있으니까 외롭고 힘들더군.,독감으로 입원하고 혼자 계시니 외로우셨군요. 이럴 때 기분이 즐거워질 방법이 있을까요?,2
회사에 정신병원 다닌다고 안 좋은 소문이 퍼졌어.,안 좋은 소문이 퍼져서 속상하겠네요. 더 이야기해 줄 수 있나요?,2
